MMSI,IMO,STATUS,SPEED,LON,LAT,COURSE,HEADING,TIMESTAMP,SHIP_ID
316035891,9780768,0,15,-53.654020,46.399850,67,340,2020-11-29T15:15:00,5149482
316035891,9780768,0,21,-53.609240,46.410320,73,0,2020-11-29T16:14:00,5149482
316035891,9780768,0,23,-53.555070,46.419960,74,4,2020-11-29T17:14:00,5149482
316035891,9780768,0,18,-53.503490,46.437220,16,301,2020-11-29T18:15:00,5149482
316035891,9780768,0,31,-53.490140,46.399900,164,207,2020-11-29T19:14:00,5149482
316035891,9780768,0,33,-53.470960,46.350150,172,213,2020-11-29T20:13:00,5149482
316035891,9780768,0,19,-53.471670,46.340970,22,326,2020-11-29T21:14:00,5149482
316035891,9780768,0,18,-53.447110,46.365530,359,314,2020-11-29T22:14:00,5149482
316035891,9780768,0,13,-53.469910,46.377520,276,290,2020-11-29T23:14:00,5149482
316035891,9780768,0,53,-53.366730,46.349350,99,93,2020-11-30T00:13:00,5149482
316035891,9780768,0,53,-53.241410,46.337920,97,90,2020-11-30T01:13:00,5149482
316035891,9780768,0,58,-53.105350,46.331930,96,90,2020-11-30T02:14:00,5149482
316035891,9780768,0,60,-52.965190,46.327430,95,88,2020-11-30T03:13:00,5149482
316035891,9780768,0,55,-52.828930,46.320880,96,83,2020-11-30T04:12:00,5149482
316035891,9780768,0,56,-52.695860,46.320560,86,80,2020-11-30T05:12:00,5149482
316035891,9780768,0,131,-52.790340,46.279530,267,271,2020-12-04T00:10:00,5149482
316035891,9780768,0,134,-53.107220,46.279240,270,270,2020-12-04T01:09:00,5149482
316035891,9780768,0,135,-53.425890,46.279780,269,270,2020-12-04T02:08:00,5149482
316035891,9780768,0,133,-53.743000,46.281620,270,269,2020-12-04T03:07:00,5149482
316035891,9780768,0,135,-54.032440,46.361650,302,302,2020-12-04T04:07:00,5149482
316035891,9780768,0,129,-54.302020,46.479270,304,302,2020-12-04T05:07:00,5149482
316035891,9780768,0,134,-54.563710,46.598060,303,302,2020-12-04T06:06:00,5149482
316035891,9780768,0,138,-54.618990,46.760900,33,33,2020-12-04T07:06:00,5149482
316035891,9780768,0,104,-54.015800,47.495980,21,21,2020-12-04T11:35:00,5149482
316035891,9780768,0,70,-54.032650,47.637430,350,350,2020-12-04T12:35:00,5149482
316035891,9780768,0,3,-54.015850,47.774710,138,226,2020-12-04T14:38:00,5149482
316035891,9780768,0,0,-54.015680,47.774640,185,225,2020-12-05T12:31:00,5149482
316035891,9780768,0,0,-54.015670,47.774650,7,225,2020-12-05T13:32:00,5149482
316035891,9780768,0,0,-54.015670,47.774640,174,225,2020-12-05T14:32:00,5149482
316035891,9780768,0,56,-54.028380,47.774800,262,255,2020-12-05T15:31:00,5149482
316035891,9780768,0,128,-54.029250,47.606510,170,172,2020-12-05T16:31:00,5149482
316035891,9780768,0,47,-54.713460,46.867290,221,217,2020-12-05T23:52:00,5149482
316035891,9780768,0,49,-54.719500,46.809840,125,134,2020-12-06T00:54:00,5149482
316035891,9780768,0,50,-54.628830,46.761350,124,131,2020-12-06T01:53:00,5149482
316035891,9780768,0,48,-54.530270,46.717400,120,131,2020-12-06T02:53:00,5149482
316035891,9780768,0,44,-54.434730,46.676380,124,133,2020-12-06T03:53:00,5149482
316035891,9780768,0,47,-54.348630,46.633600,126,133,2020-12-06T04:52:00,5149482
316035891,9780768,0,52,-54.237710,46.609600,84,90,2020-12-06T05:52:00,5149482
316035891,9780768,0,52,-54.125140,46.650050,61,67,2020-12-06T06:51:00,5149482
316035891,9780768,0,44,-54.026470,46.689710,64,81,2020-12-06T07:50:00,5149482
316035891,9780768,0,44,-53.925280,46.713750,68,80,2020-12-06T08:50:00,5149482
316035891,9780768,0,108,-53.815540,46.795890,15,15,2020-12-06T09:49:00,5149482
316035891,9780768,0,126,-53.789100,46.901960,199,197,2020-12-06T20:51:00,5149482
316035891,9780768,0,68,-53.859880,46.769210,197,193,2020-12-06T21:50:00,5149482
316035891,9780768,0,66,-53.915850,46.662550,201,200,2020-12-06T22:50:00,5149482
316035891,9780768,0,68,-53.858380,46.570730,140,142,2020-12-06T23:50:00,5149482
